claim_id,label,domain,text,winner_language,differential,spread,mapped_score,mapped_basis,ppl_de,ppl_es,ppl_fr,ppl_ja,ppl_pt,ppl_en,logprob_de,logprob_es,logprob_fr,logprob_ja,logprob_pt,logprob_en,tokens_de,tokens_es,tokens_fr,tokens_ja,tokens_pt,tokens_en,model,timestamp
1,TRUE,GENERAL,"Water boils at 100 degrees Celsius at standard atmospheric pressure.",pt,0.053319,0.233716,0.3840,PATTERN_MATCH,1.9102,1.1337,1.0867,1.1713,1.0334,1.2790,-0.6472,-0.1255,-0.0831,-0.1581,-0.0328,-0.2461,13,16,22,23,16,16,gpt-4o-mini,2026-02-17T20:47:00.240Z
2,TRUE,GENERAL,"The Earth orbits the Sun once every 365.25 days.",de,0.034936,0.078314,0.1679,SPECULATION,1.0080,1.2616,1.2021,1.0965,1.0429,1.1040,-0.0079,-0.2324,-0.1841,-0.0921,-0.0420,-0.0989,15,31,17,20,17,15,gpt-4o-mini,2026-02-17T20:47:05.088Z
3,TRUE,TECHNICAL,"TCP uses a three-way handshake to establish connections.",ja,0.050313,0.119752,0.3804,PATTERN_MATCH,1.0991,1.2576,1.4617,1.0388,1.0891,1.1568,-0.0945,-0.2292,-0.3796,-0.0381,-0.0854,-0.1456,16,18,41,22,20,10,gpt-4o-mini,2026-02-17T20:47:09.029Z
4,TRUE,TECHNICAL,"SHA-256 produces a 256-bit hash digest.",ja,0.016402,0.090908,0.1644,SPECULATION,1.0213,1.0274,1.1027,1.0049,1.2833,1.1792,-0.0210,-0.0270,-0.0977,-0.0049,-0.2494,-0.1648,14,12,17,18,12,14,gpt-4o-mini,2026-02-17T20:47:11.935Z
5,TRUE,BUSINESS,"Amazon's revenue exceeded $500 billion in 2022.",es,0.020097,0.126620,0.3441,PATTERN_MATCH,1.0574,1.0182,1.3569,1.1830,1.3798,1.0383,-0.0558,-0.0180,-0.3052,-0.1680,-0.3220,-0.0375,21,18,47,21,40,13,gpt-4o-mini,2026-02-17T20:47:15.478Z
6,TRUE,REGULATORY,"GDPR applies to all companies processing EU citizens' data, regardless of company location.",ja,0.034975,0.081435,0.1698,SPECULATION,1.0819,1.2685,1.1193,1.0470,1.1181,1.2986,-0.0788,-0.2378,-0.1127,-0.0459,-0.1117,-0.2613,31,24,30,34,26,23,gpt-4o-mini,2026-02-17T20:47:18.867Z
7,TRUE,GENERAL,"Photosynthesis converts carbon dioxide and water into glucose and oxygen.",en,0.009305,0.097028,0.1638,SPECULATION,1.0199,1.2620,1.2928,1.0837,1.1675,1.0105,-0.0197,-0.2327,-0.2568,-0.0804,-0.1549,-0.0105,20,35,37,27,33,12,gpt-4o-mini,2026-02-17T20:47:22.350Z
8,TRUE,TECHNICAL,"JavaScript is single-threaded with an event loop for concurrency.",ja,0.029940,0.185774,0.3559,PATTERN_MATCH,1.3967,1.0905,1.1346,1.0605,1.7118,1.1245,-0.3341,-0.0866,-0.1263,-0.0588,-0.5375,-0.1173,28,20,26,25,70,18,gpt-4o-mini,2026-02-17T20:47:26.438Z
9,TRUE,GENERAL,"The human genome contains approximately 3 billion base pairs.",fr,0.026099,0.065669,0.1551,SPECULATION,1.0653,1.1821,1.0164,1.1402,1.0425,1.2122,-0.0632,-0.1673,-0.0163,-0.1312,-0.0416,-0.1925,15,18,17,21,15,11,gpt-4o-mini,2026-02-17T20:47:29.306Z
10,TRUE,REGULATORY,"SOC 2 Type II audits evaluate controls over a period of time, not just at a point in time.",es,0.033705,0.055613,0.1536,SPECULATION,1.2130,1.0681,1.2003,1.2027,1.1018,1.2519,-0.1931,-0.0659,-0.1826,-0.1846,-0.0969,-0.2246,25,25,26,31,26,19,gpt-4o-mini,2026-02-17T20:47:32.329Z
11,TRUE,BUSINESS,"Apple became the first company to reach a $3 trillion market capitalization.",es,0.023542,0.038389,0.1372,SPECULATION,1.0268,1.0032,1.0795,1.1320,1.0709,1.0673,-0.0264,-0.0032,-0.0765,-0.1240,-0.0685,-0.0651,21,22,22,23,22,15,gpt-4o-mini,2026-02-17T20:47:35.271Z
12,TRUE,TECHNICAL,"HTTP status code 404 indicates a resource was not found.",de,0.046504,0.197224,0.3758,PATTERN_MATCH,1.0169,1.0889,1.6927,1.0689,1.1476,1.0634,-0.0167,-0.0851,-0.5264,-0.0666,-0.1377,-0.0615,18,16,28,21,15,16,gpt-4o-mini,2026-02-17T20:47:38.227Z
13,TRUE,GENERAL,"Insulin regulates blood glucose levels in the human body.",de,0.041840,0.077181,0.1714,SPECULATION,1.0434,1.2553,1.1681,1.0853,1.3052,1.2006,-0.0425,-0.2274,-0.1554,-0.0818,-0.2664,-0.1828,15,24,23,14,18,11,gpt-4o-mini,2026-02-17T20:47:41.252Z
14,TRUE,GENERAL,"The speed of light in a vacuum is approximately 299,792 kilometers per second.",fr,0.000098,0.016360,0.1099,SPECULATION,1.0384,1.0329,1.0172,1.0673,1.0173,1.0289,-0.0377,-0.0323,-0.0170,-0.0651,-0.0171,-0.0284,19,19,19,22,20,18,gpt-4o-mini,2026-02-17T20:47:45.381Z
15,TRUE,TECHNICAL,"Git uses a directed acyclic graph to model commit history.",es,0.028297,0.056864,0.1511,SPECULATION,1.1906,1.0260,1.1930,1.1523,1.0543,1.1214,-0.1745,-0.0257,-0.1765,-0.1418,-0.0529,-0.1146,24,17,22,24,18,11,gpt-4o-mini,2026-02-17T20:47:48.380Z
16,TRUE,REGULATORY,"HIPAA requires encryption of protected health information in transit.",de,0.041300,0.042683,0.1504,SPECULATION,1.0354,1.1649,1.1134,1.0767,1.1164,1.1721,-0.0348,-0.1526,-0.1074,-0.0739,-0.1101,-0.1588,18,18,19,24,19,15,gpt-4o-mini,2026-02-17T20:47:51.120Z
17,TRUE,BUSINESS,"The S&P 500 index tracks 500 large-cap US companies.",pt,0.083867,0.085135,0.2014,SPECULATION,1.2852,1.1071,1.1910,1.1098,1.0233,1.2990,-0.2509,-0.1018,-0.1748,-0.1042,-0.0230,-0.2616,16,16,22,22,15,18,gpt-4o-mini,2026-02-17T20:47:54.218Z
18,TRUE,GENERAL,"DNA has a double-helix structure.",ja,0.024185,0.074635,0.1593,SPECULATION,1.1526,1.0353,1.2303,1.0111,1.1385,1.2256,-0.1421,-0.0347,-0.2073,-0.0111,-0.1297,-0.2034,10,10,38,13,10,15,gpt-4o-mini,2026-02-17T20:47:57.939Z
19,TRUE,TECHNICAL,"Kubernetes orchestrates containerized applications across clusters.",de,0.053432,0.101258,0.3841,PATTERN_MATCH,1.0332,1.3251,1.3622,1.1685,1.2840,1.0867,-0.0327,-0.2815,-0.3091,-0.1557,-0.2499,-0.0831,11,36,33,28,27,15,gpt-4o-mini,2026-02-17T20:48:01.112Z
20,TRUE,REGULATORY,"The Federal Reserve sets the federal funds rate target in the United States.",ja,0.006419,0.121336,0.3277,PATTERN_MATCH,1.4114,1.0678,1.2506,1.0311,1.0842,1.0376,-0.3446,-0.0656,-0.2236,-0.0307,-0.0809,-0.0369,18,17,18,26,14,16,gpt-4o-mini,2026-02-17T20:48:04.200Z
21,TRUE,BUSINESS,"Microsoft acquired LinkedIn for $26.2 billion in 2016.",ja,0.028757,0.088099,0.1701,SPECULATION,1.0797,1.2664,1.2996,1.0459,1.0889,1.0747,-0.0766,-0.2362,-0.2621,-0.0449,-0.0852,-0.0720,19,33,47,22,20,16,gpt-4o-mini,2026-02-17T20:48:07.601Z
22,TRUE,TECHNICAL,"Transistors in modern CPUs are manufactured at nodes as small as 3 nanometers.",fr,0.041760,0.080530,0.1734,SPECULATION,1.3354,1.1731,1.0543,1.2192,1.0961,1.1045,-0.2893,-0.1596,-0.0529,-0.1982,-0.0917,-0.0994,26,23,26,32,20,17,gpt-4o-mini,2026-02-17T20:48:10.805Z
23,TRUE,GENERAL,"Gravity accelerates objects at approximately 9.8 meters per second squared on Earth's surface.",pt,0.048655,0.060864,0.1657,SPECULATION,1.0653,1.2323,1.1119,1.0943,1.0167,1.0685,-0.0633,-0.2089,-0.1060,-0.0902,-0.0165,-0.0662,27,26,27,37,28,25,gpt-4o-mini,2026-02-17T20:48:14.070Z
24,TRUE,REGULATORY,"The PCI DSS standard requires quarterly vulnerability scans.",en,0.022573,0.079744,0.1614,SPECULATION,1.0582,1.0469,1.1327,1.1627,1.2856,1.0243,-0.0565,-0.0458,-0.1246,-0.1508,-0.2512,-0.0240,18,16,19,24,19,14,gpt-4o-mini,2026-02-17T20:48:17.246Z
25,TRUE,BUSINESS,"Berkshire Hathaway's Class A shares have never been split.",en,0.018024,0.108415,0.3416,PATTERN_MATCH,1.4246,1.1051,1.0688,1.1497,1.1307,1.0508,-0.3539,-0.0999,-0.0665,-0.1395,-0.1228,-0.0495,15,13,15,30,14,16,gpt-4o-mini,2026-02-17T20:48:20.310Z
26,FALSE,GENERAL,"The Great Wall of China is visible from the Moon with the naked eye.",es,0.000000,2.236068,0.3200,PATTERN_MATCH,1.3099,1.0152,3.2036472185992303e+94,1.1926,1.3177,1.0768,-0.2700,-0.0151,-217.6073,-0.1761,-0.2759,-0.0740,18,15,46,21,57,15,gpt-4o-mini,2026-02-17T20:48:25.076Z
27,FALSE,GENERAL,"Humans only use 10 percent of their brains.",ja,0.094388,0.095945,0.2142,SPECULATION,1.2539,1.2516,1.5246,1.1572,1.4469,1.2708,-0.2263,-0.2244,-0.4217,-0.1460,-0.3694,-0.2397,11,15,90,17,36,12,gpt-4o-mini,2026-02-17T20:48:28.989Z
28,FALSE,GENERAL,"Lightning never strikes the same place twice.",fr,0.013472,0.149322,0.3362,PATTERN_MATCH,1.4252,1.0637,1.0420,1.0555,1.1364,1.4704,-0.3543,-0.0618,-0.0412,-0.0540,-0.1278,-0.3855,11,12,12,15,10,16,gpt-4o-mini,2026-02-17T20:48:31.763Z
29,FALSE,TECHNICAL,"TCP/IP was invented by Tim Berners-Lee.",es,0.042421,0.074802,0.1703,SPECULATION,1.0596,1.0171,1.1604,1.0667,1.2680,1.0824,-0.0579,-0.0170,-0.1488,-0.0646,-0.2374,-0.0791,24,11,12,16,57,11,gpt-4o-mini,2026-02-17T20:48:35.218Z
30,FALSE,TECHNICAL,"Python is a compiled language that produces native machine code.",de,0.000880,0.314869,0.3211,PATTERN_MATCH,1.0183,2.3256,1.6418,1.1837,1.5053,1.0195,-0.0182,-0.8440,-0.4958,-0.1687,-0.4090,-0.0193,17,37,35,20,28,11,gpt-4o-mini,2026-02-17T20:48:38.191Z
31,FALSE,BUSINESS,"Facebook was founded in 2001 by Mark Zuckerberg and Steve Jobs.",ja,0.011866,0.167945,0.3342,PATTERN_MATCH,1.1426,1.7139,1.1930,1.1106,1.3620,1.1224,-0.1333,-0.5387,-0.1764,-0.1049,-0.3089,-0.1155,23,44,44,39,44,15,gpt-4o-mini,2026-02-17T20:48:41.683Z
32,FALSE,REGULATORY,"The EU AI Act classifies all machine learning systems as high-risk.",en,0.040454,0.104730,0.3685,PATTERN_MATCH,1.2869,1.0514,1.3218,1.0541,1.1704,1.0109,-0.2523,-0.0501,-0.2790,-0.0527,-0.1573,-0.0109,24,20,24,25,19,14,gpt-4o-mini,2026-02-17T20:48:44.525Z
33,FALSE,GENERAL,"Gold is the best conductor of electricity among all metals.",pt,0.006761,0.201931,0.3281,PATTERN_MATCH,1.0330,1.0076,1.6699,1.1018,1.0009,1.1388,-0.0325,-0.0076,-0.5127,-0.0970,-0.0009,-0.1299,11,14,34,22,16,10,gpt-4o-mini,2026-02-17T20:48:47.718Z
34,FALSE,TECHNICAL,"SQL databases cannot handle more than one million rows.",de,0.068127,0.115676,0.4018,PATTERN_MATCH,1.0324,1.2346,1.1993,1.1005,1.2775,1.4771,-0.0319,-0.2107,-0.1817,-0.0958,-0.2449,-0.3901,15,19,16,21,17,10,gpt-4o-mini,2026-02-17T20:48:51.552Z
35,FALSE,BUSINESS,"Tesla was the first company to mass-produce electric vehicles.",pt,0.028723,0.054358,0.1498,SPECULATION,1.1163,1.0883,1.1225,1.2419,1.0514,1.0801,-0.1100,-0.0846,-0.1156,-0.2166,-0.0501,-0.0771,18,13,15,21,15,10,gpt-4o-mini,2026-02-17T20:48:54.718Z
36,FALSE,REGULATORY,"GDPR only applies to companies headquartered in Europe.",ja,0.010297,0.125599,0.3324,PATTERN_MATCH,1.0837,1.0451,1.0471,1.0348,1.1068,1.4370,-0.0804,-0.0441,-0.0460,-0.0342,-0.1015,-0.3626,20,16,19,22,13,10,gpt-4o-mini,2026-02-17T20:48:57.444Z
37,FALSE,GENERAL,"Antibiotics are effective against viral infections.",es,0.005735,0.192138,0.3269,PATTERN_MATCH,1.0400,1.0336,1.4559,1.0394,1.6115,1.0898,-0.0392,-0.0331,-0.3756,-0.0386,-0.4771,-0.0860,14,14,53,15,37,12,gpt-4o-mini,2026-02-17T20:49:00.772Z
38,FALSE,TECHNICAL,"REST APIs must always return JSON responses.",ja,0.034906,0.085517,0.1723,SPECULATION,1.0624,1.2521,1.1368,1.0275,1.2219,1.3019,-0.0605,-0.2248,-0.1282,-0.0271,-0.2004,-0.2638,14,11,15,18,11,8,gpt-4o-mini,2026-02-17T20:49:03.837Z
39,FALSE,REGULATORY,"The United States has always had a federal income tax since its founding.",es,0.047949,0.086653,0.1808,SPECULATION,1.1643,1.0430,1.3600,1.1355,1.1264,1.0910,-0.1521,-0.0421,-0.3075,-0.1271,-0.1191,-0.0871,19,17,24,25,17,14,gpt-4o-mini,2026-02-17T20:49:06.887Z
40,FALSE,BUSINESS,"Google's IPO was the largest in technology history.",de,0.008164,0.087873,0.1576,SPECULATION,1.0120,1.1548,1.1715,1.2126,1.0202,1.2933,-0.0119,-0.1439,-0.1583,-0.1928,-0.0200,-0.2572,16,25,30,24,12,14,gpt-4o-mini,2026-02-17T20:49:09.755Z
41,FALSE,GENERAL,"Diamonds are the hardest known substance and cannot be destroyed.",es,0.025868,0.130451,0.3510,PATTERN_MATCH,1.1349,1.0637,1.5391,1.0895,1.2503,1.2359,-0.1265,-0.0617,-0.4312,-0.0857,-0.2234,-0.2118,16,17,48,26,23,14,gpt-4o-mini,2026-02-17T20:49:13.043Z
42,FALSE,TECHNICAL,"Blockchain technology requires proof-of-work consensus.",es,0.097818,0.098191,0.2176,SPECULATION,1.1162,1.0183,1.1564,1.1239,1.2590,1.3798,-0.1099,-0.0182,-0.1453,-0.1168,-0.2303,-0.3219,19,13,14,25,14,12,gpt-4o-mini,2026-02-17T20:49:15.987Z
43,FALSE,BUSINESS,"Warren Buffett founded Berkshire Hathaway as an investment firm.",de,0.022028,0.166403,0.3464,PATTERN_MATCH,1.0088,1.1445,1.5705,1.0647,1.0309,1.0986,-0.0088,-0.1350,-0.4514,-0.0627,-0.0304,-0.0940,11,13,47,27,13,11,gpt-4o-mini,2026-02-17T20:49:19.366Z
44,FALSE,GENERAL,"Napoleon Bonaparte was unusually short for his era.",de,0.061213,0.155084,0.3935,PATTERN_MATCH,1.0534,1.1248,1.6075,1.1403,1.1146,1.1454,-0.0520,-0.1176,-0.4747,-0.1313,-0.1085,-0.1357,15,21,43,22,20,13,gpt-4o-mini,2026-02-17T20:49:22.428Z
45,FALSE,TECHNICAL,"All HTTP requests are encrypted by default.",de,0.001714,0.054900,0.1340,SPECULATION,1.0022,1.1148,1.1202,1.0039,1.0165,1.1355,-0.0022,-0.1087,-0.1135,-0.0039,-0.0164,-0.1271,11,11,15,19,13,8,gpt-4o-mini,2026-02-17T20:49:25.229Z
46,FALSE,REGULATORY,"SOX compliance is voluntary for publicly traded US companies.",pt,0.025459,0.045519,0.1426,SPECULATION,1.0645,1.1162,1.1986,1.1265,1.0390,1.1061,-0.0625,-0.1099,-0.1812,-0.1191,-0.0383,-0.1009,32,23,27,23,20,13,gpt-4o-mini,2026-02-17T20:49:28.362Z
47,FALSE,BUSINESS,"Uber has been consistently profitable since its IPO in 2019.",es,0.105769,0.086266,0.2152,SPECULATION,1.1305,1.0248,1.1460,1.1684,1.3641,1.1798,-0.1227,-0.0245,-0.1363,-0.1556,-0.3105,-0.1653,18,18,19,23,22,16,gpt-4o-mini,2026-02-17T20:49:32.263Z
48,FALSE,GENERAL,"Evolution is the process by which organisms improve over time.",fr,0.009477,0.130363,0.3314,PATTERN_MATCH,1.2742,1.2526,1.0581,1.1237,1.0676,1.5167,-0.2423,-0.2252,-0.0565,-0.1167,-0.0654,-0.4166,17,23,17,20,18,16,gpt-4o-mini,2026-02-17T20:49:34.988Z
49,FALSE,TECHNICAL,"NoSQL databases are always faster than relational databases.",es,0.006587,0.054743,0.1368,SPECULATION,1.0575,1.0162,1.1632,1.1589,1.1029,1.0228,-0.0559,-0.0160,-0.1512,-0.1475,-0.0979,-0.0225,15,18,36,43,20,10,gpt-4o-mini,2026-02-17T20:49:38.496Z
50,FALSE,REGULATORY,"The Basel III framework applies only to European banks.",es,0.001844,0.043818,0.1274,SPECULATION,1.0586,1.0463,1.0482,1.1443,1.1688,1.0895,-0.0570,-0.0453,-0.0471,-0.1348,-0.1560,-0.0857,15,14,17,25,16,12,gpt-4o-mini,2026-02-17T20:49:41.664Z
51,CONTESTED,TECHNICAL,"Large language models understand the meaning of the text they generate.",en,0.004595,0.102877,0.3255,PATTERN_MATCH,1.0418,1.1226,1.2121,1.0472,1.3586,1.0372,-0.0410,-0.1157,-0.1924,-0.0461,-0.3064,-0.0365,18,14,18,20,18,12,gpt-4o-mini,2026-02-17T20:49:44.494Z
